member_id,household_id,relationship,gender,age,literate,employed,personal_income_bob,household_income_reference_bob
SYN-P0057,SYN-H013,Child,Man,13,1.0,0,0,2460.0
SYN-P0058,SYN-H014,Head,Woman,46,1.0,1,1250,1620.0
SYN-P0059,SYN-H014,Partner,Woman,33,1.0,1,2280,1620.0
SYN-P0060,SYN-H014,Partner,Woman,13,1.0,0,0,1620.0
SYN-P0061,SYN-H015,Head,Man,53,1.0,1,1010,2540.0
SYN-P0062,SYN-H015,Child,Woman,26,1.0,0,0,2540.0
SYN-P0063,SYN-H015,Other relative,Woman,22,1.0,0,0,2540.0
SYN-P0064,SYN-H015,Child,Woman,25,1.0,0,0,2540.0
SYN-P0065,SYN-H016,Head,Man,46,1.0,0,0,2440.0
SYN-P0066,SYN-H016,Child,Man,23,1.0,0,0,2440.0
SYN-P0067,SYN-H016,Other relative,Man,29,,1,740,2440.0
SYN-P0068,SYN-H016,Other relative,Man,50,1.0,0,0,2440.0
SYN-P0069,SYN-H016,Partner,Man,30,1.0,0,0,2440.0
SYN-P0070,SYN-H016,Partner,Man,27,1.0,0,0,2440.0
SYN-P0071,SYN-H017,Head,Woman,56,1.0,0,0,2120.0
SYN-P0072,SYN-H017,Partner,Woman,27,1.0,1,1440,2120.0
SYN-P0073,SYN-H017,Other relative,Woman,60,1.0,0,0,2120.0
SYN-P0074,SYN-H017,Child,Woman,7,0.0,0,0,2120.0
SYN-P0075,SYN-H017,Other relative,Woman,5,1.0,0,0,2120.0
SYN-P0076,SYN-H017,Child,Woman,34,1.0,1,1330,2120.0
SYN-P0077,SYN-H017,Partner,Man,71,1.0,1,1650,2120.0
SYN-P0078,SYN-H018,Head,Woman,50,1.0,0,0,1660.0
SYN-P0079,SYN-H018,Other relative,Man,14,1.0,0,0,1660.0
SYN-P0080,SYN-H018,Child,Man,15,1.0,1,360,1660.0
SYN-P0081,SYN-H018,Partner,Man,26,,1,1250,1660.0
SYN-P0082,SYN-H018,Partner,Man,23,1.0,0,0,1660.0
SYN-P0083,SYN-H019,Head,Man,35,1.0,0,0,2800.0
SYN-P0084,SYN-H019,Other relative,Man,75,1.0,1,2370,2800.0
SYN-P0085,SYN-H019,Child,Woman,59,1.0,1,610,2800.0
SYN-P0086,SYN-H019,Child,Man,37,1.0,0,0,2800.0
SYN-P0087,SYN-H020,Head,Woman,51,1.0,0,0,1590.0
SYN-P0088,SYN-H020,Partner,Man,38,1.0,1,760,1590.0
SYN-P0089,SYN-H020,Child,Woman,8,0.0,0,0,1590.0
SYN-P0090,SYN-H020,Child,Man,87,1.0,0,0,1590.0
SYN-P0091,SYN-H020,Child,Man,13,1.0,1,1760,1590.0
SYN-P0092,SYN-H020,Child,Woman,54,1.0,0,0,1590.0
SYN-P0093,SYN-H020,Child,Woman,15,1.0,0,0,1590.0
SYN-P0094,SYN-H021,Head,Woman,45,1.0,1,1090,2470.0
SYN-P0095,SYN-H021,Child,Woman,45,1.0,0,0,2470.0
SYN-P0096,SYN-H021,Child,Woman,18,1.0,1,950,2470.0
SYN-P0097,SYN-H021,Partner,Woman,24,1.0,1,780,2470.0
SYN-P0098,SYN-H021,Child,Woman,40,1.0,0,0,2470.0
SYN-P0099,SYN-H022,Head,Man,67,1.0,0,0,1940.0
SYN-P0100,SYN-H022,Partner,Man,77,1.0,0,0,1940.0
SYN-P0101,SYN-H022,Child,Woman,18,1.0,0,0,1940.0
SYN-P0102,SYN-H022,Child,Man,24,1.0,1,2470,1940.0
SYN-P0103,SYN-H023,Head,Man,60,1.0,0,0,3050.0
SYN-P0104,SYN-H023,Child,Woman,7,0.0,0,0,3050.0
SYN-P0105,SYN-H023,Child,Woman,16,1.0,1,1490,3050.0
SYN-P0106,SYN-H023,Child,Man,13,1.0,0,0,3050.0
SYN-P0107,SYN-H023,Partner,Man,22,1.0,0,0,3050.0
SYN-P0108,SYN-H024,Head,Man,34,0.0,0,0,2940.0
SYN-P0109,SYN-H024,Child,Man,44,1.0,0,0,2940.0
SYN-P0110,SYN-H024,Partner,Man,32,1.0,0,0,2940.0
SYN-P0111,SYN-H025,Head,Woman,46,1.0,1,1320,2320.0
SYN-P0112,SYN-H025,Child,Woman,19,0.0,0,0,2320.0
SYN-P0113,SYN-H025,Child,Woman,22,1.0,0,0,2320.0
SYN-P0114,SYN-H025,Child,Woman,42,1.0,1,340,2320.0
SYN-P0115,SYN-H025,Child,Man,32,1.0,1,1270,2320.0
SYN-P0116,SYN-H025,Child,Man,52,1.0,1,600,2320.0
SYN-P0117,SYN-H026,Head,Woman,39,1.0,1,1220,4730.0
SYN-P0118,SYN-H026,Child,Woman,41,1.0,1,2810,4730.0
SYN-P0119,SYN-H026,Partner,Woman,26,1.0,0,0,4730.0
SYN-P0120,SYN-H026,Partner,Woman,6,0.0,0,0,4730.0
SYN-P0121,SYN-H026,Child,Woman,39,1.0,0,0,4730.0
SYN-P0122,SYN-H026,Child,Woman,34,1.0,0,0,4730.0
SYN-P0123,SYN-H027,Head,Woman,56,1.0,0,0,2520.0
SYN-P0124,SYN-H027,Child,Man,44,,0,0,2520.0
SYN-P0125,SYN-H028,Head,Woman,46,1.0,1,1440,2960.0
SYN-P0126,SYN-H028,Child,Man,18,1.0,1,1130,2960.0
SYN-P0127,SYN-H028,Child,Woman,20,1.0,0,0,2960.0
SYN-P0128,SYN-H029,Head,Man,45,1.0,0,0,3210.0
SYN-P0129,SYN-H029,Child,Man,15,1.0,0,0,3210.0
SYN-P0130,SYN-H029,Partner,Woman,81,1.0,0,0,3210.0
SYN-P0131,SYN-H030,Head,Man,56,1.0,1,1920,2320.0
SYN-P0132,SYN-H030,Child,Woman,28,1.0,1,560,2320.0
SYN-P0133,SYN-H030,Partner,Woman,15,0.0,0,0,2320.0
SYN-P0134,SYN-H030,Child,Man,10,1.0,0,0,2320.0
SYN-P0135,SYN-H030,Child,Woman,24,0.0,0,0,2320.0
SYN-P0136,SYN-H030,Child,Woman,13,1.0,0,0,2320.0
SYN-P0137,SYN-H030,Child,Woman,90,,0,0,2320.0
SYN-P0138,SYN-H031,Head,Woman,50,1.0,0,0,1800.0
SYN-P0139,SYN-H031,Partner,Man,55,1.0,1,300,1800.0
SYN-P0140,SYN-H031,Partner,Woman,35,1.0,1,1070,1800.0
SYN-P0141,SYN-H031,Child,Woman,26,1.0,0,0,1800.0
SYN-P0142,SYN-H031,Child,Woman,32,1.0,0,0,1800.0
SYN-P0143,SYN-H031,Partner,Woman,3,1.0,0,0,1800.0
SYN-P0144,SYN-H032,Head,Man,57,1.0,1,810,2210.0
SYN-P0145,SYN-H032,Child,Man,10,1.0,0,0,2210.0
SYN-P0146,SYN-H032,Partner,Man,31,1.0,0,0,2210.0
SYN-P0147,SYN-H032,Child,Man,21,1.0,0,0,2210.0
SYN-P0148,SYN-H032,Child,Woman,6,1.0,0,0,2210.0
SYN-P0149,SYN-H033,Head,Man,69,1.0,1,1370,2150.0
SYN-P0150,SYN-H033,Child,Woman,32,0.0,1,560,2150.0
SYN-P0151,SYN-H033,Child,Woman,46,,0,0,2150.0
SYN-P0152,SYN-H033,Child,Man,64,1.0,0,0,2150.0
SYN-P0153,SYN-H033,Child,Man,28,1.0,1,950,2150.0
SYN-P0154,SYN-H033,Child,Woman,31,1.0,0,0,2150.0
SYN-P0155,SYN-H034,Head,Man,45,1.0,0,0,3760.0
SYN-P0156,SYN-H034,Child,Woman,7,0.0,0,0,3760.0
SYN-P0157,SYN-H035,Head,Woman,64,1.0,0,0,2140.0
SYN-P0158,SYN-H035,Child,Woman,32,1.0,1,1250,2140.0
SYN-P0159,SYN-H036,Head,Man,67,1.0,0,0,2140.0
SYN-P0160,SYN-H036,Child,Woman,9,1.0,0,0,2140.0
SYN-P0161,SYN-H036,Other relative,Woman,32,1.0,0,0,2140.0
SYN-P0162,SYN-H036,Partner,Woman,16,1.0,1,490,2140.0
SYN-P0163,SYN-H037,Head,Woman,60,1.0,1,1970,2160.0
SYN-P0164,SYN-H037,Child,Woman,43,1.0,1,600,2160.0
SYN-P0165,SYN-H037,Child,Woman,66,1.0,0,0,2160.0
SYN-P0166,SYN-H037,Child,Man,38,1.0,0,0,2160.0
SYN-P0167,SYN-H037,Child,Man,54,1.0,0,0,2160.0
SYN-P0168,SYN-H037,Partner,Woman,73,1.0,0,0,2160.0
SYN-P0169,SYN-H038,Head,Man,28,1.0,0,0,4000.0
SYN-P0170,SYN-H038,Partner,Man,28,1.0,1,1450,4000.0
SYN-P0171,SYN-H039,Head,Woman,46,1.0,0,0,1030.0
SYN-P0172,SYN-H039,Child,Woman,25,1.0,0,0,1030.0
SYN-P0173,SYN-H039,Child,Man,22,1.0,1,290,1030.0
SYN-P0174,SYN-H039,Child,Woman,16,1.0,0,0,1030.0
SYN-P0175,SYN-H040,Head,Woman,49,1.0,1,1530,1450.0
SYN-P0176,SYN-H040,Child,Man,38,1.0,0,0,1450.0
SYN-P0177,SYN-H040,Partner,Man,40,1.0,0,0,1450.0
SYN-P0178,SYN-H040,Child,Man,54,1.0,0,0,1450.0
SYN-P0179,SYN-H040,Child,Man,33,1.0,1,640,1450.0
SYN-P0180,SYN-H040,Other relative,Woman,14,1.0,0,0,1450.0
SYN-P0181,SYN-H040,Child,Woman,9,1.0,0,0,1450.0
SYN-P0182,SYN-H041,Head,Man,71,1.0,0,0,950.0
SYN-P0183,SYN-H041,Partner,Woman,29,1.0,1,1810,950.0
SYN-P0184,SYN-H041,Child,Man,6,1.0,0,0,950.0
SYN-P0185,SYN-H042,Head,Woman,46,0.0,1,1580,4180.0
SYN-P0186,SYN-H042,Partner,Man,49,1.0,0,0,4180.0
SYN-P0187,SYN-H042,Child,Man,31,1.0,0,0,4180.0
SYN-P0188,SYN-H042,Child,Woman,10,1.0,0,0,4180.0
SYN-P0189,SYN-H042,Other relative,Man,44,1.0,1,580,4180.0
SYN-P0190,SYN-H042,Child,Man,42,1.0,1,970,4180.0
SYN-P0191,SYN-H043,Head,Man,56,1.0,1,270,1050.0
SYN-P0192,SYN-H043,Child,Man,30,1.0,0,0,1050.0
SYN-P0193,SYN-H043,Partner,Man,38,1.0,1,1650,1050.0
SYN-P0194,SYN-H044,Head,Man,49,1.0,1,820,4590.0
SYN-P0195,SYN-H044,Partner,Woman,22,0.0,0,0,4590.0
SYN-P0196,SYN-H044,Child,Woman,22,1.0,0,0,4590.0
SYN-P0197,SYN-H044,Child,Woman,13,0.0,0,0,4590.0
SYN-P0198,SYN-H044,Child,Woman,21,1.0,0,0,4590.0
SYN-P0199,SYN-H045,Head,Man,42,1.0,1,1750,1800.0
SYN-P0200,SYN-H045,Child,Man,22,1.0,0,0,1800.0
SYN-P0201,SYN-H045,Partner,Woman,44,1.0,1,1720,1800.0
SYN-P0202,SYN-H045,Child,Man,2,1.0,0,0,1800.0
SYN-P0203,SYN-H045,Child,Man,5,1.0,0,0,1800.0
SYN-P0204,SYN-H046,Head,Woman,57,1.0,0,0,1800.0
SYN-P0205,SYN-H046,Child,Man,25,1.0,1,570,1800.0
SYN-P0206,SYN-H046,Child,Man,17,1.0,0,0,1800.0
SYN-P0207,SYN-H046,Child,Woman,46,1.0,0,0,1800.0
SYN-P0208,SYN-H047,Head,Man,48,1.0,1,1160,1500.0
SYN-P0209,SYN-H047,Other relative,Woman,46,1.0,1,1390,1500.0
SYN-P0210,SYN-H048,Head,Man,25,1.0,0,0,1230.0
SYN-P0211,SYN-H048,Child,Man,34,1.0,0,0,1230.0
SYN-P0212,SYN-H049,Head,Man,62,1.0,1,2440,3270.0
SYN-P0213,SYN-H049,Child,Man,21,1.0,0,0,3270.0
SYN-P0214,SYN-H049,Child,Man,53,1.0,1,2010,3270.0
SYN-P0215,SYN-H049,Child,Woman,12,1.0,0,0,3270.0
SYN-P0216,SYN-H049,Child,Man,23,1.0,0,0,3270.0
SYN-P0217,SYN-H049,Child,Woman,15,1.0,1,1110,3270.0
SYN-P0218,SYN-H050,Head,Woman,49,1.0,1,1710,1880.0
SYN-P0219,SYN-H050,Child,Man,56,1.0,0,0,1880.0
SYN-P0220,SYN-H050,Partner,Woman,29,1.0,0,0,1880.0
SYN-P0221,SYN-H050,Child,Woman,10,1.0,0,0,1880.0
SYN-P0222,SYN-H050,Child,Man,22,1.0,0,0,1880.0
SYN-P0223,SYN-H050,Child,Woman,30,1.0,0,0,1880.0
SYN-P0224,SYN-H051,Head,Woman,28,1.0,0,0,1990.0
SYN-P0225,SYN-H051,Child,Woman,26,1.0,0,0,1990.0
SYN-P0226,SYN-H051,Child,Man,14,1.0,0,0,1990.0
SYN-P0227,SYN-H051,Child,Woman,29,1.0,1,450,1990.0
SYN-P0228,SYN-H051,Child,Man,47,0.0,1,330,1990.0
SYN-P0229,SYN-H051,Other relative,Woman,4,0.0,0,0,1990.0
SYN-P0230,SYN-H052,Head,Woman,40,1.0,1,1430,3070.0
SYN-P0231,SYN-H052,Child,Woman,29,1.0,0,0,3070.0
SYN-P0232,SYN-H052,Child,Woman,10,1.0,0,0,3070.0
SYN-P0233,SYN-H052,Other relative,Woman,4,0.0,0,0,3070.0
SYN-P0234,SYN-H053,Head,Man,42,1.0,1,530,11000.0
SYN-P0235,SYN-H053,Other relative,Man,26,1.0,1,10020,11000.0
SYN-P0236,SYN-H053,Child,Woman,10,1.0,0,0,11000.0
SYN-P0237,SYN-H053,Child,Woman,20,1.0,0,0,11000.0
SYN-P0238,SYN-H053,Child,Woman,2,1.0,0,0,11000.0
SYN-P0239,SYN-H053,Child,Woman,10,1.0,0,0,11000.0
SYN-P0240,SYN-H053,Child,Woman,90,1.0,0,0,11000.0
SYN-P0241,SYN-H054,Head,Man,53,1.0,1,1580,3650.0
SYN-P0242,SYN-H054,Child,Man,13,1.0,0,0,3650.0
SYN-P0243,SYN-H054,Other relative,Man,40,1.0,0,0,3650.0
SYN-P0244,SYN-H054,Child,Man,49,1.0,1,1220,3650.0
SYN-P0245,SYN-H054,Other relative,Man,34,0.0,1,820,3650.0
SYN-P0246,SYN-H055,Head,Woman,57,1.0,1,840,2000.0
SYN-P0247,SYN-H055,Other relative,Man,68,1.0,0,0,2000.0
SYN-P0248,SYN-H055,Child,Woman,38,1.0,0,0,2000.0
SYN-P0249,SYN-H056,Head,Woman,46,1.0,0,0,1890.0
SYN-P0250,SYN-H056,Partner,Woman,50,1.0,0,0,1890.0
SYN-P0251,SYN-H056,Child,Man,38,1.0,1,530,1890.0
SYN-P0252,SYN-H057,Head,Woman,48,1.0,0,0,2920.0
SYN-P0253,SYN-H057,Partner,Woman,48,1.0,1,1580,2920.0
SYN-P0254,SYN-H057,Partner,Man,20,1.0,0,0,2920.0
SYN-P0255,SYN-H057,Other relative,Woman,21,0.0,0,0,2920.0
SYN-P0256,SYN-H057,Child,Man,32,1.0,1,2090,2920.0
SYN-P0257,SYN-H057,Other relative,Man,19,1.0,1,6190,2920.0
SYN-P0258,SYN-H058,Head,Man,50,1.0,0,0,1360.0
SYN-P0259,SYN-H058,Child,Man,9,1.0,0,0,1360.0
SYN-P0260,SYN-H058,Child,Woman,23,1.0,1,830,1360.0
SYN-P0261,SYN-H058,Partner,Man,52,1.0,1,350,1360.0
SYN-P0262,SYN-H058,Child,Man,36,1.0,1,1040,1360.0
SYN-P0263,SYN-H058,Partner,Man,1,0.0,0,0,1360.0
SYN-P0264,SYN-H059,Head,Man,57,1.0,0,0,2700.0
SYN-P0265,SYN-H059,Child,Man,25,1.0,0,0,2700.0
SYN-P0266,SYN-H059,Other relative,Woman,38,1.0,0,0,2700.0
SYN-P0267,SYN-H059,Child,Man,11,0.0,0,0,2700.0
SYN-P0268,SYN-H060,Head,Woman,48,1.0,1,840,900.0
SYN-P0269,SYN-H060,Child,Man,27,1.0,0,0,900.0
SYN-P0270,SYN-H060,Child,Man,5,0.0,0,0,900.0
SYN-P0271,SYN-H060,Child,Man,50,1.0,0,0,900.0
